COMMENT_ID,AUTHOR,DATE,CLASS,CONTENT_az
LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,Julius NM,2013-11-07T06:20:48,1,"Huh, hər halda bu youtube] kanalına baxın: kobayashi 02"
LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,2013-11-07T12:37:15,1,Salam uşaqlar mənim yeni kanalıma və ilk videomuza baxın BU BİZ MEYMUNLARDIR!!! Mən ağ köynəkli meymunam zəhmət olmasa like atıb şərh yazın və abunə olun!!!!
LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,Evgeny Murashkin,2013-11-08T17:34:21,1,sırf test üçün murdev.com deməliyəm
z13jhp0bxqncu512g22wvzkasxmvvzjaz04,ElNino Melendez,2013-11-09T08:28:43,1,kanalımda seksual götümü silkələyirəm ^_^ ﻿
z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,GsMega,2013-11-10T16:05:38,1,watch?v=vtaRGgvGtWQ Bunu yoxlayın .﻿
LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,2013-11-26T02:55:11,1,"Hey, yeni veb saytıma baxın!! Bu sayt uşaq əşyaları haqqındadır. uşaq mediası. com"
z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,2013-11-27T21:39:24,1,Kanalıma abunə olun
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,2013-11-28T12:33:27,0,"Mən gələn kimi səsi söndürdüm, sadəcə baxışları yoxlamaq istədim...﻿"
z13ttt1jcraqexk2o234ghbgzxymz1zzi04,Cony,2013-11-28T16:01:47,1,Gülməli VİDEOLAR üçün kanalımı yoxlamalısınız!!
z12avveb4xqiirsix04chxviiljryduwxg0,BeBe Burkey,2013-11-28T16:30:13,1,və siz mənim kanalımı yoxlamalı və bundan sonra nə etməli olduğumu söyləməlisiniz!﻿
z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,Huckyduck,2013-11-28T17:06:17,1,hey mene abune ol
z13xit5agm2zyh4f523rst2gowmbx5bml,Lone Twistt,2013-11-28T17:34:55,1,"Oxumağa başladıqdan sonra dayanmayın. Bir gün ərzində mənə abunə olmasanız, siz və bütün ailəniz öləcək, buna görə də sağ qalmaq istəyirsinizsə, elə indi abunə olun."
z13pejoiuozwxtdu323dspopnri4xts0f,Archie Lewis,2013-11-28T17:54:39,1,https://twitter.com/GBphotographyGB﻿
z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,TheUploadaddict,2013-11-28T18:12:12,1,abone olun şərhi bəyənin
